Taille image;Nombre de points;Cycles scalaire;Cycles SIMD naif;Cycles SIMD opti;Cycles SIMD fusion;
581x581;337561;12368466;834087;294406;382265;
582x582;338724;12668542;835392;295116;383044;
583x583;339889;12641700;836871;342396;383704;
584x584;341056;12540055;847000;296056;383959;
585x585;342225;12646455;857893;296280;385020;
586x586;343396;12871475;845181;296761;385568;
587x587;344569;12920532;842546;297225;386224;
588x588;345744;12936521;843890;297648;387172;
589x589;346921;12890791;845651;298236;387172;
590x590;348100;12782615;846720;298508;387637;
591x591;349281;13056313;848200;299532;389228;
592x592;350464;12993852;849940;299908;389543;
593x593;351649;12867515;851050;300498;390046;
594x594;352836;13002189;852619;300909;391030;
595x595;354025;13223196;853882;301444;391452;
596x596;355216;13448204;855374;301856;391744;
597x597;356409;13327524;856902;302454;392792;
598x598;357604;13357848;858256;302958;393473;
599x599;358801;13396764;859784;303601;393938;
600x600;360000;13433639;861498;303954;394758;
601x601;361201;13484630;865230;304486;395415;
602x602;362404;13501088;864116;305158;395848;
603x603;363609;13547996;865374;305475;397102;
604x604;364816;13585529;870910;306004;397400;
605x605;366025;13623570;868360;306659;398055;
606x606;367236;13537234;869644;306924;399016;
607x607;368449;13740822;873594;307442;399422;
608x608;369664;13617404;881790;308020;399846;
609x609;370881;13676610;874079;308521;400786;
610x610;372100;13737396;875656;308992;401140;
611x611;373321;14062594;876630;309580;401756;
612x612;374544;14011536;878330;310110;402640;
613x613;375769;13842200;880003;310446;403284;
614x614;376996;13911449;881199;310948;403550;
615x615;378225;13767526;883077;311494;404550;
616x616;379456;13965268;884228;312048;405384;
617x617;380689;13919755;885158;312709;405782;
618x618;381924;13958057;887372;313028;406626;
619x619;383161;14073166;888352;313114;407050;
620x620;384400;14103777;901349;313968;407664;
621x621;385641;14259079;891145;314126;408588;
622x622;386884;14123868;892744;365136;473834;
623x623;388129;14218936;893952;315391;409706;
624x624;389376;14312392;895714;315628;410642;
625x625;390625;14575227;896870;316448;410926;
626x626;391876;14366785;898248;316680;411674;
627x627;393129;14595852;899824;317466;412380;
628x628;394384;14538912;901250;318026;412993;
629x629;395641;14413671;902940;318726;413704;
630x630;396900;14446378;904434;319250;414421;
631x631;398161;14502337;905536;319506;414804;
632x632;399424;14997148;906972;319935;415422;
633x633;400689;14558792;908594;320464;416712;
634x634;401956;14751032;909590;320613;417044;
635x635;403225;15011884;911217;321566;417408;
636x636;404496;15276072;912797;321794;418525;
637x637;405769;15038954;922346;322542;419108;
638x638;407044;14947034;915666;323014;419784;
639x639;408321;15123418;916967;323669;420644;
640x640;409600;15371547;918032;323721;420886;
641x641;410881;15654068;1104736;389031;541456;
642x642;412164;15333650;1106480;390149;543068;
643x643;413449;15451358;1108316;391184;543926;
644x644;414736;15382712;1109961;391260;543998;
645x645;416025;15462630;1130538;391851;545364;
646x646;417316;15120853;1113286;391993;546219;
647x647;418609;15176330;1117712;392551;546576;
648x648;419904;15703248;1116742;393482;547841;
649x649;421201;15656448;1118628;394210;548554;
650x650;422500;15631420;1119854;394358;549399;
651x651;423801;15714472;1130102;395432;550334;
652x652;425104;15638839;1123694;396259;551455;
653x653;426409;15600748;1128086;396947;551779;
654x654;427716;15940550;1145403;397140;552972;
655x655;429025;15779034;1128692;397655;553806;
656x656;430336;15936670;1130198;397942;554298;
657x657;431649;16090426;1132260;399189;555748;
658x658;432964;15980416;1133790;400196;556704;
659x659;434281;16081836;1144102;401106;557032;
660x660;435600;16215730;1137415;400698;558166;
661x661;436921;16294998;1147523;401234;558961;
662x662;438244;16146807;1140917;402141;559436;
663x663;439569;16307952;1142753;402724;560589;
664x664;440896;16329152;1144834;403499;561386;
665x665;442225;16378153;1170160;403846;561785;
